"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"1"	"Alaska"	"02"	"1993"	"1993"	10621
	"< 1 year"	"1"	"Alaska"	"02"	"1994"	"1994"	10068
	"< 1 year"	"1"	"Alaska"	"02"	"1995"	"1995"	9588
	"< 1 year"	"1"	"Alaska"	"02"	"1996"	"1996"	9375
	"< 1 year"	"1"	"Alaska"	"02"	"1997"	"1997"	9385
	"< 1 year"	"1"	"Alaska"	"02"	"1998"	"1998"	9355
	"< 1 year"	"1"	"Alaska"	"02"	"1999"	"1999"	9265
	"< 1 year"	"1"	"Alaska"	"02"	"2000"	"2000"	9445
	"< 1 year"	"1"	"Alaska"	"02"	"2001"	"2001"	9826
	"< 1 year"	"1"	"Alaska"	"02"	"2002"	"2002"	9695
	"< 1 year"	"1"	"Alaska"	"02"	"2003"	"2003"	9830
	"< 1 year"	"1"	"Alaska"	"02"	"2004"	"2004"	9959
	"< 1 year"	"1"	"Alaska"	"02"	"2005"	"2005"	10197
	"< 1 year"	"1"	"Alaska"	"02"	"2006"	"2006"	10215
	"< 1 year"	"1"	"Alaska"	"02"	"2007"	"2007"	10650
	"< 1 year"	"1"	"Alaska"	"02"	"2008"	"2008"	10815
	"< 1 year"	"1"	"Alaska"	"02"	"2009"	"2009"	11076
	"< 1 year"	"1"	"Alaska"	"02"	"2010"	"2010"	11039
	"< 1 year"	"1"	"Alaska"	"02"	"2011"	"2011"	11696
	"< 1 year"	"1"	"Alaska"	"02"	"2012"	"2012"	11093
	"< 1 year"	"1"	"Alaska"	"02"	"2013"	"2013"	11294
	"< 1 year"	"1"	"Alaska"	"02"	"2014"	"2014"	11380
	"< 1 year"	"1"	"Alaska"	"02"	"2015"	"2015"	11271
	"< 1 year"	"1"	"Alaska"	"02"	"2016"	"2016"	11220
	"< 1 year"	"1"	"Alaska"	"02"	"2017"	"2017"	10955
	"< 1 year"	"1"	"Alaska"	"02"	"2018"	"2018"	10665
"Total"	"< 1 year"	"1"	"Alaska"	"02"			304499
	"< 1 year"	"1"	"Arizona"	"04"	"1990"	"1990"	65051
	"< 1 year"	"1"	"Arizona"	"04"	"1991"	"1991"	67267
	"< 1 year"	"1"	"Arizona"	"04"	"1992"	"1992"	67196
	"< 1 year"	"1"	"Arizona"	"04"	"1993"	"1993"	67644
	"< 1 year"	"1"	"Arizona"	"04"	"1994"	"1994"	68207
	"< 1 year"	"1"	"Arizona"	"04"	"1995"	"1995"	71121
	"< 1 year"	"1"	"Arizona"	"04"	"1996"	"1996"	72421
	"< 1 year"	"1"	"Arizona"	"04"	"1997"	"1997"	72695
	"< 1 year"	"1"	"Arizona"	"04"	"1998"	"1998"	75335
	"< 1 year"	"1"	"Arizona"	"04"	"1999"	"1999"	77506
	"< 1 year"	"1"	"Arizona"	"04"	"2000"	"2000"	78966
	"< 1 year"	"1"	"Arizona"	"04"	"2001"	"2001"	84721
	"< 1 year"	"1"	"Arizona"	"04"	"2002"	"2002"	84886
	"< 1 year"	"1"	"Arizona"	"04"	"2003"	"2003"	87052
	"< 1 year"	"1"	"Arizona"	"04"	"2004"	"2004"	89116
	"< 1 year"	"1"	"Arizona"	"04"	"2005"	"2005"	92434
	"< 1 year"	"1"	"Arizona"	"04"	"2006"	"2006"	94201
	"< 1 year"	"1"	"Arizona"	"04"	"2007"	"2007"	96177
	"< 1 year"	"1"	"Arizona"	"04"	"2008"	"2008"	95576
	"< 1 year"	"1"	"Arizona"	"04"	"2009"	"2009"	86485
	"< 1 year"	"1"	"Arizona"	"04"	"2010"	"2010"	86649
	"< 1 year"	"1"	"Arizona"	"04"	"2011"	"2011"	86107
	"< 1 year"	"1"	"Arizona"	"04"	"2012"	"2012"	85537
	"< 1 year"	"1"	"Arizona"	"04"	"2013"	"2013"	86215
	"< 1 year"	"1"	"Arizona"	"04"	"2014"	"2014"	86272
	"< 1 year"	"1"	"Arizona"	"04"	"2015"	"2015"	86798
	"< 1 year"	"1"	"Arizona"	"04"	"2016"	"2016"	85073
	"< 1 year"	"1"	"Arizona"	"04"	"2017"	"2017"	83781
	"< 1 year"	"1"	"Arizona"	"04"	"2018"	"2018"	83553
"Total"	"< 1 year"	"1"	"Arizona"	"04"			2364042
	"< 1 year"	"1"	"Arkansas"	"05"	"1990"	"1990"	34451
	"< 1 year"	"1"	"Arkansas"	"05"	"1991"	"1991"	34485
	"< 1 year"	"1"	"Arkansas"	"05"	"1992"	"1992"	34375
	"< 1 year"	"1"	"Arkansas"	"05"	"1993"	"1993"	33578
	"< 1 year"	"1"	"Arkansas"	"05"	"1994"	"1994"	33827
	"< 1 year"	"1"	"Arkansas"	"05"	"1995"	"1995"	34739
	"< 1 year"	"1"	"Arkansas"	"05"	"1996"	"1996"	35236
	"< 1 year"	"1"	"Arkansas"	"05"	"1997"	"1997"	35315
	"< 1 year"	"1"	"Arkansas"	"05"	"1998"	"1998"	35590
	"< 1 year"	"1"	"Arkansas"	"05"	"1999"	"1999"	35851
	"< 1 year"	"1"	"Arkansas"	"05"	"2000"	"2000"	36428
	"< 1 year"	"1"	"Arkansas"	"05"	"2001"	"2001"	37013
	"< 1 year"	"1"	"Arkansas"	"05"	"2002"	"2002"	37217
	"< 1 year"	"1"	"Arkansas"	"05"	"2003"	"2003"	37155
	"< 1 year"	"1"	"Arkansas"	"05"	"2004"	"2004"	37766
	"< 1 year"	"1"	"Arkansas"	"05"	"2005"	"2005"	38707
	"< 1 year"	"1"	"Arkansas"	"05"	"2006"	"2006"	39522
	"< 1 year"	"1"	"Arkansas"	"05"	"2007"	"2007"	40530
	"< 1 year"	"1"	"Arkansas"	"05"	"2008"	"2008"	40784
	"< 1 year"	"1"	"Arkansas"	"05"	"2009"	"2009"	38962
	"< 1 year"	"1"	"Arkansas"	"05"	"2010"	"2010"	38229
	"< 1 year"	"1"	"Arkansas"	"05"	"2011"	"2011"	38226
	"< 1 year"	"1"	"Arkansas"	"05"	"2012"	"2012"	38338
	"< 1 year"	"1"	"Arkansas"	"05"	"2013"	"2013"	37642
	"< 1 year"	"1"	"Arkansas"	"05"	"2014"	"2014"	37950
	"< 1 year"	"1"	"Arkansas"	"05"	"2015"	"2015"	38440
	"< 1 year"	"1"	"Arkansas"	"05"	"2016"	"2016"	38284
	"< 1 year"	"1"	"Arkansas"	"05"	"2017"	"2017"	37392
	"< 1 year"	"1"	"Arkansas"	"05"	"2018"	"2018"	36901
"Total"	"< 1 year"	"1"	"Arkansas"	"05"			1072933
	"< 1 year"	"1"	"California"	"06"	"1990"	"1990"	561534
	"< 1 year"	"1"	"California"	"06"	"1991"	"1991"	598068
	"< 1 year"	"1"	"California"	"06"	"1992"	"1992"	583437
	"< 1 year"	"1"	"California"	"06"	"1993"	"1993"	564236
	"< 1 year"	"1"	"California"	"06"	"1994"	"1994"	547307
	"< 1 year"	"1"	"California"	"06"	"1995"	"1995"	528892
	"< 1 year"	"1"	"California"	"06"	"1996"	"1996"	511446
	"< 1 year"	"1"	"California"	"06"	"1997"	"1997"	496336
	"< 1 year"	"1"	"California"	"06"	"1998"	"1998"	487974
	"< 1 year"	"1"	"California"	"06"	"1999"	"1999"	485647
	"< 1 year"	"1"	"California"	"06"	"2000"	"2000"	492631
	"< 1 year"	"1"	"California"	"06"	"2001"	"2001"	524357
	"< 1 year"	"1"	"California"	"06"	"2002"	"2002"	514905
	"< 1 year"	"1"	"California"	"06"	"2003"	"2003"	522195
	"< 1 year"	"1"	"California"	"06"	"2004"	"2004"	520350
	"< 1 year"	"1"	"California"	"06"	"2005"	"2005"	522403
	"< 1 year"	"1"	"California"	"06"	"2006"	"2006"	520189
	"< 1 year"	"1"	"California"	"06"	"2007"	"2007"	527233
	"< 1 year"	"1"	"California"	"06"	"2008"	"2008"	529416
	"< 1 year"	"1"	"California"	"06"	"2009"	"2009"	499021
	"< 1 year"	"1"	"California"	"06"	"2010"	"2010"	495713
	"< 1 year"	"1"	"California"	"06"	"2011"	"2011"	509078
	"< 1 year"	"1"	"California"	"06"	"2012"	"2012"	496876
	"< 1 year"	"1"	"California"	"06"	"2013"	"2013"	499587
	"< 1 year"	"1"	"California"	"06"	"2014"	"2014"	499248
	"< 1 year"	"1"	"California"	"06"	"2015"	"2015"	500940
	"< 1 year"	"1"	"California"	"06"	"2016"	"2016"	491081
	"< 1 year"	"1"	"California"	"06"	"2017"	"2017"	482140
	"< 1 year"	"1"	"California"	"06"	"2018"	"2018"	477320
"Total"	"< 1 year"	"1"	"California"	"06"			14989560
	"< 1 year"	"1"	"Colorado"	"08"	"1990"	"1990"	53507
	"< 1 year"	"1"	"Colorado"	"08"	"1991"	"1991"	53108
	"< 1 year"	"1"	"Colorado"	"08"	"1992"	"1992"	53653
	"< 1 year"	"1"	"Colorado"	"08"	"1993"	"1993"	53021
	"< 1 year"	"1"	"Colorado"	"08"	"1994"	"1994"	52730
	"< 1 year"	"1"	"Colorado"	"08"	"1995"	"1995"	53376
	"< 1 year"	"1"	"Colorado"	"08"	"1996"	"1996"	54384
	"< 1 year"	"1"	"Colorado"	"08"	"1997"	"1997"	55944
	"< 1 year"	"1"	"Colorado"	"08"	"1998"	"1998"	58026
	"< 1 year"	"1"	"Colorado"	"08"	"1999"	"1999"	60120
	"< 1 year"	"1"	"Colorado"	"08"	"2000"	"2000"	61926
	"< 1 year"	"1"	"Colorado"	"08"	"2001"	"2001"	66788
	"< 1 year"	"1"	"Colorado"	"08"	"2002"	"2002"	66280
	"< 1 year"	"1"	"Colorado"	"08"	"2003"	"2003"	66624
	"< 1 year"	"1"	"Colorado"	"08"	"2004"	"2004"	66137
	"< 1 year"	"1"	"Colorado"	"08"	"2005"	"2005"	66747
	"< 1 year"	"1"	"Colorado"	"08"	"2006"	"2006"	67456
	"< 1 year"	"1"	"Colorado"	"08"	"2007"	"2007"	68795
	"< 1 year"	"1"	"Colorado"	"08"	"2008"	"2008"	67363
	"< 1 year"	"1"	"Colorado"	"08"	"2009"	"2009"	66225
	"< 1 year"	"1"	"Colorado"	"08"	"2010"	"2010"	66939
	"< 1 year"	"1"	"Colorado"	"08"	"2011"	"2011"	65991
	"< 1 year"	"1"	"Colorado"	"08"	"2012"	"2012"	64720
	"< 1 year"	"1"	"Colorado"	"08"	"2013"	"2013"	64691
	"< 1 year"	"1"	"Colorado"	"08"	"2014"	"2014"	65651
	"< 1 year"	"1"	"Colorado"	"08"	"2015"	"2015"	66354
	"< 1 year"	"1"	"Colorado"	"08"	"2016"	"2016"	66515
	"< 1 year"	"1"	"Colorado"	"08"	"2017"	"2017"	66272
	"< 1 year"	"1"	"Colorado"	"08"	"2018"	"2018"	66125
"Total"	"< 1 year"	"1"	"Colorado"	"08"			1805468
	"< 1 year"	"1"	"Connecticut"	"09"	"1990"	"1990"	49637
	"< 1 year"	"1"	"Connecticut"	"09"	"1991"	"1991"	47712
	"< 1 year"	"1"	"Connecticut"	"09"	"1992"	"1992"	46900
	"< 1 year"	"1"	"Connecticut"	"09"	"1993"	"1993"	45930
	"< 1 year"	"1"	"Connecticut"	"09"	"1994"	"1994"	44858
	"< 1 year"	"1"	"Connecticut"	"09"	"1995"	"1995"	44154
	"< 1 year"	"1"	"Connecticut"	"09"	"1996"	"1996"	43207
	"< 1 year"	"1"	"Connecticut"	"09"	"1997"	"1997"	42635
	"< 1 year"	"1"	"Connecticut"	"09"	"1998"	"1998"	42557
	"< 1 year"	"1"	"Connecticut"	"09"	"1999"	"1999"	42660
	"< 1 year"	"1"	"Connecticut"	"09"	"2000"	"2000"	43184
	"< 1 year"	"1"	"Connecticut"	"09"	"2001"	"2001"	42667
	"< 1 year"	"1"	"Connecticut"	"09"	"2002"	"2002"	41994
	"< 1 year"	"1"	"Connecticut"	"09"	"2003"	"2003"	42410
	"< 1 year"	"1"	"Connecticut"	"09"	"2004"	"2004"	41804
	"< 1 year"	"1"	"Connecticut"	"09"	"2005"	"2005"	40575
	"< 1 year"	"1"	"Connecticut"	"09"	"2006"	"2006"	40108
	"< 1 year"	"1"	"Connecticut"	"09"	"2007"	"2007"	40579
	"< 1 year"	"1"	"Connecticut"	"09"	"2008"	"2008"	39499
	"< 1 year"	"1"	"Connecticut"	"09"	"2009"	"2009"	38407
	"< 1 year"	"1"	"Connecticut"	"09"	"2010"	"2010"	38073
	"< 1 year"	"1"	"Connecticut"	"09"	"2011"	"2011"	37641
	"< 1 year"	"1"	"Connecticut"	"09"	"2012"	"2012"	36883
	"< 1 year"	"1"	"Connecticut"	"09"	"2013"	"2013"	36122
	"< 1 year"	"1"	"Connecticut"	"09"	"2014"	"2014"	36318
	"< 1 year"	"1"	"Connecticut"	"09"	"2015"	"2015"	36420
	"< 1 year"	"1"	"Connecticut"	"09"	"2016"	"2016"	35926
	"< 1 year"	"1"	"Connecticut"	"09"	"2017"	"2017"	35454
	"< 1 year"	"1"	"Connecticut"	"09"	"2018"	"2018"	35113
"Total"	"< 1 year"	"1"	"Connecticut"	"09"			1189427
	"< 1 year"	"1"	"Delaware"	"10"	"1990"	"1990"	10689
	"< 1 year"	"1"	"Delaware"	"10"	"1991"	"1991"	10781
	"< 1 year"	"1"	"Delaware"	"10"	"1992"	"1992"	10543
	"< 1 year"	"1"	"Delaware"	"10"	"1993"	"1993"	10227
	"< 1 year"	"1"	"Delaware"	"10"	"1994"	"1994"	10089
	"< 1 year"	"1"	"Delaware"	"10"	"1995"	"1995"	9901
	"< 1 year"	"1"	"Delaware"	"10"	"1996"	"1996"	9802
	"< 1 year"	"1"	"Delaware"	"10"	"1997"	"1997"	9916
	"< 1 year"	"1"	"Delaware"	"10"	"1998"	"1998"	10072
	"< 1 year"	"1"	"Delaware"	"10"	"1999"	"1999"	10223
	"< 1 year"	"1"	"Delaware"	"10"	"2000"	"2000"	10412
	"< 1 year"	"1"	"Delaware"	"10"	"2001"	"2001"	10769
	"< 1 year"	"1"	"Delaware"	"10"	"2002"	"2002"	10653
	"< 1 year"	"1"	"Delaware"	"10"	"2003"	"2003"	11113
	"< 1 year"	"1"	"Delaware"	"10"	"2004"	"2004"	11029
	"< 1 year"	"1"	"Delaware"	"10"	"2005"	"2005"	11199
	"< 1 year"	"1"	"Delaware"	"10"	"2006"	"2006"	11274
	"< 1 year"	"1"	"Delaware"	"10"	"2007"	"2007"	11619
	"< 1 year"	"1"	"Delaware"	"10"	"2008"	"2008"	11520
	"< 1 year"	"1"	"Delaware"	"10"	"2009"	"2009"	11116
	"< 1 year"	"1"	"Delaware"	"10"	"2010"	"2010"	11004
	"< 1 year"	"1"	"Delaware"	"10"	"2011"	"2011"	11219
	"< 1 year"	"1"	"Delaware"	"10"	"2012"	"2012"	11050
	"< 1 year"	"1"	"Delaware"	"10"	"2013"	"2013"	10799
	"< 1 year"	"1"	"Delaware"	"10"	"2014"	"2014"	10924
	"< 1 year"	"1"	"Delaware"	"10"	"2015"	"2015"	10985
	"< 1 year"	"1"	"Delaware"	"10"	"2016"	"2016"	11016
	"< 1 year"	"1"	"Delaware"	"10"	"2017"	"2017"	10800
	"< 1 year"	"1"	"Delaware"	"10"	"2018"	"2018"	10645
"Total"	"< 1 year"	"1"	"Delaware"	"10"			311389
	"< 1 year"	"1"	"District of Columbia"	"11"	"1990"	"1990"	8890
	"< 1 year"	"1"	"District of Columbia"	"11"	"1991"	"1991"	8975
	"< 1 year"	"1"	"District of Columbia"	"11"	"1992"	"1992"	8497
	"< 1 year"	"1"	"District of Columbia"	"11"	"1993"	"1993"	8217
	"< 1 year"	"1"	"District of Columbia"	"11"	"1994"	"1994"	7931
	"< 1 year"	"1"	"District of Columbia"	"11"	"1995"	"1995"	7284
	"< 1 year"	"1"	"District of Columbia"	"11"	"1996"	"1996"	6773
	"< 1 year"	"1"	"District of Columbia"	"11"	"1997"	"1997"	6547
	"< 1 year"	"1"	"District of Columbia"	"11"	"1998"	"1998"	6286
	"< 1 year"	"1"	"District of Columbia"	"11"	"1999"	"1999"	6458
	"< 1 year"	"1"	"District of Columbia"	"11"	"2000"	"2000"	6577
	"< 1 year"	"1"	"District of Columbia"	"11"	"2001"	"2001"	7479
	"< 1 year"	"1"	"District of Columbia"	"11"	"2002"	"2002"	7179
	"< 1 year"	"1"	"District of Columbia"	"11"	"2003"	"2003"	6781
	"< 1 year"	"1"	"District of Columbia"	"11"	"2004"	"2004"	7274
	"< 1 year"	"1"	"District of Columbia"	"11"	"2005"	"2005"	7220
	"< 1 year"	"1"	"District of Columbia"	"11"	"2006"	"2006"	7321
	"< 1 year"	"1"	"District of Columbia"	"11"	"2007"	"2007"	7735
	"< 1 year"	"1"	"District of Columbia"	"11"	"2008"	"2008"	7888
	"< 1 year"	"1"	"District of Columbia"	"11"	"2009"	"2009"	7515
	"< 1 year"	"1"	"District of Columbia"	"11"	"2010"	"2010"	7609
	"< 1 year"	"1"	"District of Columbia"	"11"	"2011"	"2011"	9292
	"< 1 year"	"1"	"District of Columbia"	"11"	"2012"	"2012"	9369
	"< 1 year"	"1"	"District of Columbia"	"11"	"2013"	"2013"	9653
	"< 1 year"	"1"	"District of Columbia"	"11"	"2014"	"2014"	9493
	"< 1 year"	"1"	"District of Columbia"	"11"	"2015"	"2015"	9808
	"< 1 year"	"1"	"District of Columbia"	"11"	"2016"	"2016"	9824
	"< 1 year"	"1"	"District of Columbia"	"11"	"2017"	"2017"	9878
	"< 1 year"	"1"	"District of Columbia"	"11"	"2018"	"2018"	9870
"Total"	"< 1 year"	"1"	"District of Columbia"	"11"			233623
	"< 1 year"	"1"	"Florida"	"12"	"1990"	"1990"	188577
	"< 1 year"	"1"	"Florida"	"12"	"1991"	"1991"	192096
	"< 1 year"	"1"	"Florida"	"12"	"1992"	"1992"	188055
	"< 1 year"	"1"	"Florida"	"12"	"1993"	"1993"	187656
	"< 1 year"	"1"	"Florida"	"12"	"1994"	"1994"	185250
	"< 1 year"	"1"	"Florida"	"12"	"1995"	"1995"	182240
	"< 1 year"	"1"	"Florida"	"12"	"1996"	"1996"	182167
	"< 1 year"	"1"	"Florida"	"12"	"1997"	"1997"	184343
	"< 1 year"	"1"	"Florida"	"12"	"1998"	"1998"	185678
	"< 1 year"	"1"	"Florida"	"12"	"1999"	"1999"	187719
	"< 1 year"	"1"	"Florida"	"12"	"2000"	"2000"	189540
	"< 1 year"	"1"	"Florida"	"12"	"2001"	"2001"	205486
	"< 1 year"	"1"	"Florida"	"12"	"2002"	"2002"	204364
	"< 1 year"	"1"	"Florida"	"12"	"2003"	"2003"	205420
	"< 1 year"	"1"	"Florida"	"12"	"2004"	"2004"	209821
	"< 1 year"	"1"	"Florida"	"12"	"2005"	"2005"	216277
	"< 1 year"	"1"	"Florida"	"12"	"2006"	"2006"	221765
	"< 1 year"	"1"	"Florida"	"12"	"2007"	"2007"	224817
	"< 1 year"	"1"	"Florida"	"12"	"2008"	"2008"	222151
	"< 1 year"	"1"	"Florida"	"12"	"2009"	"2009"	211370
	"< 1 year"	"1"	"Florida"	"12"	"2010"	"2010"	207973
	"< 1 year"	"1"	"Florida"	"12"	"2011"	"2011"	213106
	"< 1 year"	"1"	"Florida"	"12"	"2012"	"2012"	213736
	"< 1 year"	"1"	"Florida"	"12"	"2013"	"2013"	213163
	"< 1 year"	"1"	"Florida"	"12"	"2014"	"2014"	218375
	"< 1 year"	"1"	"Florida"	"12"	"2015"	"2015"	221880
	"< 1 year"	"1"	"Florida"	"12"	"2016"	"2016"	225124
	"< 1 year"	"1"	"Florida"	"12"	"2017"	"2017"	224478
	"< 1 year"	"1"	"Florida"	"12"	"2018"	"2018"	222040
"Total"	"< 1 year"	"1"	"Florida"	"12"			5934667
	"< 1 year"	"1"	"Georgia"	"13"	"1990"	"1990"	107583
	"< 1 year"	"1"	"Georgia"	"13"	"1991"	"1991"	107379
	"< 1 year"	"1"	"Georgia"	"13"	"1992"	"1992"	107799
	"< 1 year"	"1"	"Georgia"	"13"	"1993"	"1993"	107248
	"< 1 year"	"1"	"Georgia"	"13"	"1994"	"1994"	106980
	"< 1 year"	"1"	"Georgia"	"13"	"1995"	"1995"	107526
	"< 1 year"	"1"	"Georgia"	"13"	"1996"	"1996"	108569
	"< 1 year"	"1"	"Georgia"	"13"	"1997"	"1997"	111885
	"< 1 year"	"1"	"Georgia"	"13"	"1998"	"1998"	115593
	"< 1 year"	"1"	"Georgia"	"13"	"1999"	"1999"	119807
	"< 1 year"	"1"	"Georgia"	"13"	"2000"	"2000"	122726
	"< 1 year"	"1"	"Georgia"	"13"	"2001"	"2001"	133456
	"< 1 year"	"1"	"Georgia"	"13"	"2002"	"2002"	131046
	"< 1 year"	"1"	"Georgia"	"13"	"2003"	"2003"	131016
	"< 1 year"	"1"	"Georgia"	"13"	"2004"	"2004"	134288
	"< 1 year"	"1"	"Georgia"	"13"	"2005"	"2005"	135578
	"< 1 year"	"1"	"Georgia"	"13"	"2006"	"2006"	139467
	"< 1 year"	"1"	"Georgia"	"13"	"2007"	"2007"	144910
	"< 1 year"	"1"	"Georgia"	"13"	"2008"	"2008"	142686
	"< 1 year"	"1"	"Georgia"	"13"	"2009"	"2009"	134125
	"< 1 year"	"1"	"Georgia"	"13"	"2010"	"2010"	132600
	"< 1 year"	"1"	"Georgia"	"13"	"2011"	"2011"	131806
	"< 1 year"	"1"	"Georgia"	"13"	"2012"	"2012"	131233
	"< 1 year"	"1"	"Georgia"	"13"	"2013"	"2013"	128129
	"< 1 year"	"1"	"Georgia"	"13"	"2014"	"2014"	128828
	"< 1 year"	"1"	"Georgia"	"13"	"2015"	"2015"	130979
	"< 1 year"	"1"	"Georgia"	"13"	"2016"	"2016"	130234
	"< 1 year"	"1"	"Georgia"	"13"	"2017"	"2017"	128393
	"< 1 year"	"1"	"Georgia"	"13"	"2018"	"2018"	126952
"Total"	"< 1 year"	"1"	"Georgia"	"13"			3618821
	"< 1 year"	"1"	"Hawaii"	"15"	"1990"	"1990"	18787
	"< 1 year"	"1"	"Hawaii"	"15"	"1991"	"1991"	19205
	"< 1 year"	"1"	"Hawaii"	"15"	"1992"	"1992"	18987
	"< 1 year"	"1"	"Hawaii"	"15"	"1993"	"1993"	18666
	"< 1 year"	"1"	"Hawaii"	"15"	"1994"	"1994"	18178
	"< 1 year"	"1"	"Hawaii"	"15"	"1995"	"1995"	17422
	"< 1 year"	"1"	"Hawaii"	"15"	"1996"	"1996"	16557
	"< 1 year"	"1"	"Hawaii"	"15"	"1997"	"1997"	15930
	"< 1 year"	"1"	"Hawaii"	"15"	"1998"	"1998"	15607
	"< 1 year"	"1"	"Hawaii"	"15"	"1999"	"1999"	15523
	"< 1 year"	"1"	"Hawaii"	"15"	"2000"	"2000"	15708
	"< 1 year"	"1"	"Hawaii"	"15"	"2001"	"2001"	16759
	"< 1 year"	"1"	"Hawaii"	"15"	"2002"	"2002"	16627
	"< 1 year"	"1"	"Hawaii"	"15"	"2003"	"2003"	17143
	"< 1 year"	"1"	"Hawaii"	"15"	"2004"	"2004"	18136
	"< 1 year"	"1"	"Hawaii"	"15"	"2005"	"2005"	17645
	"< 1 year"	"1"	"Hawaii"	"15"	"2006"	"2006"	17796
	"< 1 year"	"1"	"Hawaii"	"15"	"2007"	"2007"	18620
	"< 1 year"	"1"	"Hawaii"	"15"	"2008"	"2008"	18536
	"< 1 year"	"1"	"Hawaii"	"15"	"2009"	"2009"	18735
	"< 1 year"	"1"	"Hawaii"	"15"	"2010"	"2010"	18027
	"< 1 year"	"1"	"Hawaii"	"15"	"2011"	"2011"	19139
	"< 1 year"	"1"	"Hawaii"	"15"	"2012"	"2012"	18877
	"< 1 year"	"1"	"Hawaii"	"15"	"2013"	"2013"	18978
	"< 1 year"	"1"	"Hawaii"	"15"	"2014"	"2014"	18821
	"< 1 year"	"1"	"Hawaii"	"15"	"2015"	"2015"	18164
	"< 1 year"	"1"	"Hawaii"	"15"	"2016"	"2016"	18202
	"< 1 year"	"1"	"Hawaii"	"15"	"2017"	"2017"	17723
	"< 1 year"	"1"	"Hawaii"	"15"	"2018"	"2018"	17224
"Total"	"< 1 year"	"1"	"Hawaii"	"15"			515722
	"< 1 year"	"1"	"Idaho"	"16"	"1990"	"1990"	16739
	"< 1 year"	"1"	"Idaho"	"16"	"1991"	"1991"	16488
	"< 1 year"	"1"	"Idaho"	"16"	"1992"	"1992"	17000
	"< 1 year"	"1"	"Idaho"	"16"	"1993"	"1993"	17327
	"< 1 year"	"1"	"Idaho"	"16"	"1994"	"1994"	17394
	"< 1 year"	"1"	"Idaho"	"16"	"1995"	"1995"	17768
	"< 1 year"	"1"	"Idaho"	"16"	"1996"	"1996"	18276
	"< 1 year"	"1"	"Idaho"	"16"	"1997"	"1997"	18559
	"< 1 year"	"1"	"Idaho"	"16"	"1998"	"1998"	19039
	"< 1 year"	"1"	"Idaho"	"16"	"1999"	"1999"	19493
	"< 1 year"	"1"	"Idaho"	"16"	"2000"	"2000"	19973
	"< 1 year"	"1"	"Idaho"	"16"	"2001"	"2001"	20753
	"< 1 year"	"1"	"Idaho"	"16"	"2002"	"2002"	20815
	"< 1 year"	"1"	"Idaho"	"16"	"2003"	"2003"	21164
	"< 1 year"	"1"	"Idaho"	"16"	"2004"	"2004"	22278
